Question,Answer
"What are the payment methods accepted?","We accept all major credit and debit cards (Visa, Mastercard, RuPay, American Express), Net Banking, UPI (Google Pay, PhonePe, Paytm, etc.), and popular wallets. Cash on Delivery (COD) is available for select pin codes and order values."
"Is Cash on Delivery (COD) available for my location?","COD availability depends on your pin code and the order value. You can check COD eligibility on the product page or during checkout by entering your pin code."
"How do I know if my order is confirmed?","Once your order is successfully placed, you will receive an order confirmation email and SMS with your order details and order ID."
"How can I track my order?","You can track your order status through the 'My Orders' section on our website/app. We will also send you regular updates via email and SMS with tracking information once your order is shipped."
"What are the shipping charges?","Shipping charges may vary depending on the product, your location, and the shipping method chosen. Standard shipping is often free for orders above a certain value. You can see the exact shipping charges during checkout before making the payment."
"How long will it take to receive my order?","Delivery times vary based on your location and the product. Typically, orders are delivered within 3-7 business days. You can find estimated delivery times on the product page."
"Do you deliver to my pin code?","We deliver to most pin codes across India. You can check serviceability for your pin code on the product page or at checkout."
"What if I receive a damaged or defective product?","We apologize for the inconvenience. Please contact our customer support within 48 hours of delivery with photos/videos of the damaged/defective product. We will arrange for a return, replacement, or refund as per our policy."
"What is your return policy?","We have a [X]-day return policy for most products. Products must be returned in their original condition with all tags, accessories, and packaging intact. Some items like software or personal care electronics may not be returnable. Please check the product page for specific return information."
"How do I initiate a return?","You can initiate a return through the 'My Orders' section of our website/app. Follow the instructions, and our team will guide you through the process."
"How will I get my refund?","Once your return is approved and the product is received by us, the refund will be processed to your original payment method within [Y-Z] business days. For COD orders, refunds are typically processed via NEFT to your bank account."
"Can I cancel my order?","You can cancel your order if it has not been shipped yet. Go to the 'My Orders' section to check the status and cancel if the option is available. If shipped, you may need to refuse delivery or initiate a return."
"How do I apply a coupon code?","You can apply a coupon code in the 'Apply Coupon' or 'Discount Code' section in your cart or during checkout before making the payment."
"What if my coupon code is not working?","Please ensure the coupon code is valid, correctly entered, and meets any specific terms and conditions (e.g., minimum order value, applicable to specific products/categories). If you still face issues, contact our customer support."
"Do you offer EMI options?","Yes, we offer No Cost EMI and low-cost EMI options through various bank credit cards and financing partners. You can check EMI eligibility and plans on the product page or during checkout."
"How does the 'No Cost EMI' work?","No Cost EMI means you pay only the product price in installments, without any additional interest charges. The interest amount is usually offered as an upfront discount by us."
"What is the warranty period for products?","The warranty period varies by product and brand. It is usually mentioned on the product page and on the manufacturer's warranty card. Standard manufacturer warranty applies to all products."
"How do I claim a warranty?","To claim a warranty, you usually need to contact the authorized service center of the brand directly with your original invoice and warranty card. You can find service center details on the brand's website or contact our support for assistance."
"Are the products genuine and original?","Yes, all products sold on our platform are 100% genuine, sourced directly from brands or their authorized distributors."
"Do you offer installation services for appliances like TVs, ACs, washing machines?","Yes, installation services are available for select large appliances in many cities. Installation charges and availability will be mentioned on the product page. You can request installation during or after placing the order."
